Code,Type,Location,Owner,Condition,Inspector
G0XA,Military base,Townsville,Townsville City Council,Excellent,Karen Wong
H8LP,Community garden,Brisbane,Brisbane City Council,Poor,Peter Taylor
I6BK,Convention center,Cairns,Cairns Regional Council,Good,Andrew Nguyen
J4ZT,Railway bridge,Townsville,Townsville City Council,Good,Emily Lee
K7HD,Government office building,Brisbane,Brisbane City Council,Good,Rebecca Smith
L5NC,Car dealership,Gold Coast,Gold Coast City Council,Fair,Daniel Kim
M1UV,Hospital,Sunshine Coast,Sunshine Coast Council,Excellent,Samantha Chen
N3FA,Shopping center,Cairns,Cairns Regional Council,Fair,Adam Davis
O2BM,Police station,Toowoomba,Toowoomba Regional Council,Poor,Anna Jones
P7XE,Public swimming pool,Brisbane,Brisbane City Council,Good,Matthew Lee
Q5TK,Convention center,Gold Coast,Gold Coast City Council,Good,Olivia Wilson
R2NP,Apartment building,Cairns,Cairns Regional Council,Good,Eric Chen
S1MF,Sports center,Sunshine Coast,Sunshine Coast Council,Excellent,Stephanie Lee
T9LG,Courthouse,Toowoomba,Toowoomba Regional Council,Poor,Kevin Lee
U6DC,Art museum,Brisbane,Brisbane City Council,Good,Melissa Johnson
V8ZJ,Entertainment complex,Gold Coast,Gold Coast City Council,Fair,Jessica Kim
W0FK,City park,Cairns,Cairns Regional Council,Good,Sean Davis
X9TP,Technical college,Sunshine Coast,Sunshine Coast Council,Excellent,Julia Smith
Y7DM,Research laboratory,Townsville,Townsville City Council,Good,Peter Lee
Z4JB,Convention center,Brisbane,Brisbane City Council,Fair,Lucy Brown
A6LA,City square,Gold Coast,Gold Coast City Council,Good,Tom Wilson
B8YZ,City theater,Cairns,Cairns Regional Council,Good,John Smith
C4UH,Port facility,Sunshine Coast,Sunshine Coast Council,Excellent,Sarah Jones
D6GM,Museum of natural history,Brisbane,Brisbane City Council,Good,Tom Wilson
E2BA,High school,Toowoomba,Toowoomba Regional Council,Poor,David Lee
F5QK,Convention center,Gold Coast,Gold Coast City Council,Good,Michael Davis
G3NP,City pool,Cairns,Cairns Regional Council,Fair,Lisa Green
H1ZT,University building,Sunshine Coast,Sunshine Coast Council,Excellent,Steven White
I9XJ,Police headquarters,Brisbane,Brisbane City Council,Good,Rachel Thompson
J7KP,Convention center,Townsville,Townsville City Council,Good,Mark Johnson
K5ZM,Supermarket,Gold Coast,Gold Coast City Council,Fair,Karen Wong
L2BC,Hospital,Cairns,Cairns Regional Council,Good,Peter Taylor
M0RT,City hall,Sunshine Coast,Sunshine Coast Council,Excellent,Andrew Lee
N8FG,Convention center,Gold Coast,Gold Coast City Council,Fair,Samantha Davis
O6HA,University building,Brisbane,Brisbane City Council,Good,Michael Brown
P4NT,Sports stadium,Townsville,Townsville City Council,Good,Jessica Wilson
Q2VF,Shopping center,Cairns,Cairns Regional Council,Good,Peter Chen
R9MC,Entertainment complex,Sunshine Coast,Sunshine Coast Council,Excellent,Emily Smith
S7LA,Convention center,Brisbane,Brisbane City Council,Fair,Daniel Lee
T4UZ,Office building,Gold Coast,Gold Coast City Council,Good,Olivia Jones
U2GH,Port facility,Townsville,Townsville City Council,Good,Matthew Kim
V9KB,Convention center,Cairns,Cairns Regional Council,Good,Anna Davis
X3K6B,City library,Brisbane,Brisbane City Council,Good,Eric Wilson
H8J2M,City plaza,Gold Coast,Gold Coast City Council,Fair,Samantha Lee
Q7T9F,Hospital,Toowoomba,Toowoomba Regional Council,Poor,Adam Brown
A1N4L,Convention center,Sunshine Coast,Sunshine Coast Council,Excellent,Melissa Nguyen
R6G7P,Police station,Townsville,Townsville City Council,Good,Kevin Lee
E5F8S,Convention center,Gold Coast,Gold Coast City Council,Fair,Lucy Wilson
Y9T2H,Technical college,Brisbane,Brisbane City Council,Good,John Smith
W1D4R,City park,Toowoomba,Toowoomba Regional Council,Poor,Sarah Chen
B7Z6N,City theater,Gold Coast,Gold Coast City Council,Good,Tom Lee
U4M2J,Art museum,Cairns,Cairns Regional Council,Good,David Johnson
C8L9P,Convention center,Sunshine Coast,Sunshine Coast Council,Excellent,Rachel Kim
V6S1T,Government office building,Brisbane,Brisbane City Council,Good,Peter Davis
K9X4F,Sports center,Townsville,Townsville City Council,Good,Karen Wilson
T2N7G,Convention center,Cairns,Cairns Regional Council,Good,Steven Lee
M4D8E,City square,Brisbane,Brisbane City Council,Good,Julia Brown
F3B2H,Shopping center,Gold Coast,Gold Coast City Council,Fair,Michael Nguyen
L5R9J,Hospital,Sunshine Coast,Sunshine Coast Council,Excellent,Jessica Lee
S7W1T,Airport terminal,Brisbane,Brisbane City Council,Good,Michelle Smith
